method name, noise level, rotation error, translation error, execution time
amm,1,0.000570472,0.0422347,0.000137
amm,1,0.000591241,0.0672894,9.9e-05
amm,1,0.000345438,0.00153519,0.00012
amm,2,0.00090844,0.0210177,0.000121
amm,2,0.00228051,0.0340139,0.000141
amm,2,0.000858632,0.0176677,8.9e-05
amm,2,0.00102919,0.0230772,8.6e-05
amm,2,0.00126277,0.0208654,0.000122
amm,2,0.00124612,0.0119753,0.000109
amm,2,0.00199367,0.0522183,0.000136
amm,2,0.00202768,0.400144,0.000115
amm,2,0.000428166,0.0040516,8.7e-05
amm,2,0.00108773,0.0295074,0.000129
amm,3,0.00137493,0.154193,0.000135
amm,3,0.00308684,0.0697197,0.000132
amm,3,0.00371243,0.0189724,0.000101
amm,3,0.00248694,0.0705636,0.000129
amm,3,0.00184674,0.0154155,5.1e-05
amm,3,0.0016392,0.0281865,0.000111
amm,3,0.00256692,0.00369414,0.000132
amm,3,0.00163057,0.0587304,0.000137
amm,3,0.00232712,0.0917858,0.000131
amm,3,0.00127606,0.0741971,0.000103
amm,4,0.00214851,0.0672653,0.000137
amm,4,0.00495549,0.0541245,0.000125
amm,4,0.00151981,0.133579,0.000114
amm,4,0.00360815,0.100142,0.000157
amm,4,0.00205425,0.472397,0.00016
amm,4,0.00124861,0.0358356,0.000115
amm,4,0.00176602,0.0043212,0.000109
amm,4,0.00368329,0.107981,0.000148
amm,4,0.00140138,0.109371,0.000117
amm,4,0.0021763,0.0501522,8.8e-05
amm,5,0.00191988,0.159352,0.000131
amm,5,0.00482709,0.0690631,0.00043
amm,5,0.00676283,0.168995,0.000374
amm,5,0.00423377,0.0183339,0.000107
amm,5,0.00112892,0.324305,0.000104
amm,5,0.00315938,0.0892955,0.000114
amm,5,0.00239387,0.0314248,0.000113
amm,5,0.00164469,0.0119738,0.000147
amm,5,0.00179826,0.0216755,0.000125
amm,5,0.00210908,0.0678662,0.000146
amm,6,0.00652617,0.00462774,0.000164
amm,6,0.00479662,0.0858892,0.000136
amm,6,0.00403121,0.159639,0.000168
amm,6,0.00466548,0.459629,0.000356
amm,6,0.0112054,0.343435,0.000165
amm,6,0.00129955,0.0435155,0.000133
amm,6,0.00124683,0.0364073,0.000133
amm,6,0.00387498,0.210545,0.000116
amm,6,0.00145383,0.0592463,0.000101
amm,6,0.00245821,0.116071,0.000127
